ID,duration,age,gender,gender_open,ethnicty,ethnicity_open,Winning1,Winning2,Winning3,Winning4_R,Winning5,Emotion1,Emotion2_R,Emotion3,Emotion4,Emotion5_R,Risk1,Risk2,Risk3,Risk4_R,Risk5_R,Violence1,Violence2_R,Violence3,Violence4,Violence5_R,Playboy1,Playboy2,Playboy3,Playboy4_R,Playboy5_R,SelfReliance1,SelfReliance2,SelfReliance3,SelfReliance4,SelfReliance5_R,Hetero1,Hetero2,Hetero3,Hetero4,Hetero5_R,WorkPrimacy1_R,WorkPrimacy2,WorkPrimacy3_R,WorkPrimacy4,WorkPrimacy5,PoW1,PoW2,PoW3,PoW4_R,PoW5,Shoplifting_1,Shoplifting_2,Shoplifting_3,Trespassing_1,Trespassing_2,Trespassing_3,Speeding_1,Speeding_2,Speeding_3,Incitement_to_riot_1,Incitement_to_riot_2,Incitement_to_riot_3,Fake_ID/Fraud_1,Fake_ID/Fraud_2,Fake_ID/Fraud_3,Suspended_license_1,Suspended_license_2,Suspended_license_3,Drunk_driving_1,Drunk_driving_2,Drunk_driving_3,Domestic_abuse_1,Domestic_abuse_2,Domestic_abuse_3,Embezzlement_1,Embezzlement_2,Embezzlement_3,Prank_calling_911_1,Prank_calling_911_2,Prank_calling_911_3,Drug_dealing_1,Drug_dealing_2,Drug_dealing_3,Grafitti/Vandalism_1,Grafitti/Vandalism_2,Grafitti/Vandalism_3,Burglary_1,Burglary_2,Burglary_3,Throw_rocks_at_cars_1,Throw_rocks_at_cars_2,Throw_rocks_at_cars_3,Carry_gun_w/o_permit_1,Carry_gun_w/o_permit_2,Carry_gun_w/o_permit_3,Car_theft_1,Car_theft_2,Car_theft_3,Insider_trading_1,Insider_trading_2,Insider_trading_3,Handling_stolen_good_1,Handling_stolen_good_2,Handling_stolen_good_3,Credit_card_fraud_1,Credit_card_fraud_2,Credit_card_fraud_3,Robbery_1,Robbery_2,Robbery_3,Refusing_to_cooperat_1,Refusing_to_cooperat_2,Refusing_to_cooperat_3,Helmet_law_1,Helmet_law_2,Helmet_law_3,Carrying_knife_1,Carrying_knife_2,Carrying_knife_3,Public_drinking_1,Public_drinking_2,Public_drinking_3,Assault_1,Assault_2,Assault_3,Prostitution_1,Prostitution_2,Prostitution_3,Child_support_1,Child_support_2,Child_support_3,Desertion_1,Desertion_2,Desertion_3,StreetFight_1,StreetFight_2,StreetFight_3,StreetRace_1,StreetRace_2,StreetRace_3,Armed_Robbery_1,Armed_Robbery_2,Armed_Robbery_3,MobEnforcer_1,MobEnforcer_2,MobEnforcer_3,Pimp_1,Pimp_2,Pimp_3,Terrorist_1,Terrorist_2,Terrorist_3,Reckless_Road_Rage_1,Reckless_Road_Rage_2,Reckless_Road_Rage_3,FistFight_1,FistFight_2,FistFight_3,Vigilante_1,Vigilante_2,Vigilante_3,Gun_Crime_1,Gun_Crime_2,Gun_Crime_3,Illegal_gambling_den_1,Illegal_gambling_den_2,Illegal_gambling_den_3,Jewel_Thief_1,Jewel_Thief_2,Jewel_Thief_3,Suspicious_data
35,240,41,Male,,Caucasian,,1,1,2,3,2,1,3,2,1,1,2,3,1,2,2,2,2,2,2,3,1,2,1,2,1,1,1,1,3,4,2,1,2,1,3,2,2,4,4,4,1,1,1,2,1,,,,,,,,,,,,,,,,4,4,4,8,8,8,,,,8,8,8,,,,,,,,,,,,,7,7,7,,,,9,9,9,,,,,,,9,9,9,,,,,,,,,,,,,4,4,4,,,,,,,,,,,,,,,,,,,9,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
36,294,56,Female,,Caucasian,,1,1,2,3,1,1,4,2,1,3,3,2,1,2,3,1,2,1,1,3,1,1,1,3,4,2,2,1,3,4,1,1,1,1,1,3,2,4,2,4,1,1,2,2,1,3,4,3,5,6,4,,,,2,2,2,,,,,,,,,,,,,,,,,,,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2,2,,,,,,,,,,,,,,,,1,1,1,,,,1,1,1,,,,,,,,,,1,7,6,,,,,,,0
37,578,35,Female,,"Black/African,Caucasian",,2,2,3,3,3,2,3,3,2,2,3,3,2,2,2,3,2,3,2,2,1,1,1,3,4,2,2,2,3,3,3,3,2,3,2,2,,2,2,4,3,2,2,3,3,3,6,2,5,8,4,,,,,,,,,,,,,,,,1,4,1,,,,4,5,2,,,,,,,,,,2,5,1,,,,,,,,,,,,,,,,,,,5,5,4,,,,,,,,,,,,,,,,4,5,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,8,6,,,,,,,,,,0
38,465,39,Female,,Hispanic/Latino,,1,2,2,3,1,2,2,2,2,2,3,3,1,2,3,2,3,1,1,3,1,1,2,4,3,2,2,2,3,4,2,2,2,2,3,3,2,3,3,4,1,2,2,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,,,,,,,,,,1,1,1,,,,,,,,,,,,,5,5,5,,,,,,,,,,,,,1,5,5,3,5,1,,,,,,,1,1,1,,,,,,,1,1,1,,,,,,,,,,,,,1,1,1,,,,0
39,634,43,Female,,Caucasian,,2,2,2,3,2,1,3,3,1,3,3,2,2,2,2,3,3,3,2,3,1,1,1,3,3,2,2,2,3,4,2,2,2,3,3,2,2,3,2,4,2,2,2,2,2,,,,,,,,,,3,5,5,,,,,,,,,,1,1,1,,,,,,,,,,,,,,,,,,,3,5,2,,,,,,,,,,,,,,,,,,,,,,3,6,3,,,,,,,,,,1,1,1,,,,,,,,,,,,,2,5,3,,,,,,,,,,,,,4,5,3,4,5,3,,,,,,,0
40,1147,43,Female,,Caucasian,,3,2,4,3,3,2,4,3,2,3,3,3,2,1,3,3,3,1,1,3,2,1,2,3,3,1,1,2,4,4,2,2,1,1,1,3,1,2,3,4,1,2,2,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,7,1,,,,,,,5,9,4,,,,,,,,,,1,1,9,,,,1,7,5,,,,1,2,1,,,,,,,,,,,,,,,,,,,5,3,7,,,,,,,1,9,1,1,9,5,,,,,,,,,,,,,,,,,,,0
41,739,48,Male,,"Black/African,Caucasian",,2,2,2,3,2,2,3,2,2,2,3,2,2,2,2,2,3,2,2,3,2,2,2,2,2,2,2,2,3,3,2,2,2,2,3,2,3,3,2,2,2,2,2,2,2,5,5,4,,,,,,,4,6,3,,,,,,,,,,,,,,,,,,,5,5,3,,,,,,,,,,3,4,1,,,,4,4,2,,,,4,4,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,1,,,,,,,,,,,,,,,,2,3,1,,,,,,,,,,0
42,286,27,Male,,Caucasian,,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3,2,2,2,3,3,3,3,3,2,3,2,3,3,2,3,3,3,2,2,3,3,3,2,2,3,3,2,,,,,,,,,,,,,7,7,7,,,,8,7,7,8,7,7,,,,,,,,,,,,,,,,,,,8,7,7,,,,,,,,,,7,7,7,,,,8,7,7,,,,,,,7,7,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,7,7,,,,,,,,,,,,,0
43,278,25,Male,,Caucasian,,1,1,2,3,2,1,2,2,2,2,3,2,2,2,2,2,2,2,2,2,1,1,1,2,1,2,2,2,2,3,2,1,1,1,1,3,2,3,1,3,1,1,1,3,1,5,7,1,,,,,,,5,5,2,,,,,,,1,1,1,,,,5,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,7,3,,,,,,,,,,,,,,,,,,,8,2,2,,,,,,,,,,,,,,,,6,9,1,,,,2,7,5,,,,,,,,,,,,,0
44,524,37,Female,,Caucasian,,1,1,2,3,2,1,3,2,1,2,3,2,1,2,2,3,3,1,1,2,2,1,1,2,2,2,1,1,3,3,1,1,1,1,3,2,1,2,2,3,1,1,1,2,1,,,,,,,,,,,,,5,5,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,5,2,,,,,,,,,,1,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,4,1,2,6,3,,,,,,,,,,,,,,,,1,5,3,,,,2,5,2,3,5,2,,,,0
45,496,51,Female,,Caucasian,,2,1,2,4,2,1,4,2,1,3,3,2,1,2,3,1,3,2,1,4,1,1,1,3,3,1,1,2,3,4,1,1,1,1,4,3,1,3,2,3,1,2,1,2,1,,,,,,,4,5,3,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,,,,,,,3,5,2,,,,,,,,,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,,,,,,,4,5,3,,,,,,,,,,1,1,1,0
46,745,49,Male,,Caucasian,,3,3,3,2,3,3,3,3,3,2,4,3,2,2,2,3,4,2,2,3,2,2,2,3,3,3,3,3,3,3,4,3,3,3,2,2,3,2,3,3,3,3,2,3,3,,,,,,,,,,,,,,,,,,,2,1,1,3,3,2,2,1,2,4,4,3,,,,,,,,,,,,,,,,,,,,,,4,3,2,,,,,,,,,,4,4,4,,,,,,,,,,,,,,,,,,,,,,5,5,4,,,,,,,,,,,,,,,,,,,,,,,,,5,4,3,,,,0
47,207,39,Female,,Hispanic/Latino,,2,2,2,3,2,3,2,4,2,3,3,2,3,3,3,3,3,2,3,3,3,3,4,3,2,2,4,3,1,3,4,2,3,2,2,3,3,3,3,1,3,3,2,3,2,,,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,,,,,,,1,1,1,,,,,,,,,,,,,1,1,1,1,1,1,,,,,,,,,,,,,1,1,1,,,,1,1,1,,,,,,,,,,,,,,,,,,,,,,1,1,1,0
48,397,40,Female,,Caucasian,,2,2,3,3,2,2,2,3,2,2,3,3,2,2,2,1,2,2,1,3,2,1,1,3,3,1,2,2,3,4,1,1,1,2,1,2,2,3,3,3,2,2,2,2,2,4,6,4,,,,4,5,4,3,6,3,3,7,3,3,5,3,,,,,,,,,,,,,,,,,,,,,,,,,2,5,3,,,,,,,,,,1,3,1,,,,3,5,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
49,194,33,Female,,Caucasian,,1,1,1,1,1,1,1,1,1,4,1,1,1,1,4,1,4,1,1,4,1,1,1,4,4,1,1,1,4,4,1,1,1,1,4,4,1,4,1,4,1,1,1,4,1,1,1,1,3,3,3,,,,,,,,,,1,1,1,,,,,,,,,,1,1,1,,,,,,,,,,5,5,5,,,,,,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,5,5,3,3,3,,,,,,,0
50,386,33,Male,,Caucasian,,2,2,3,3,3,2,2,3,2,3,2,3,2,2,2,3,2,3,3,2,2,3,2,2,2,2,2,2,3,3,2,2,2,2,3,2,3,3,3,3,2,2,2,2,2,,,,4,3,3,,,,,,,,,,,,,2,2,2,,,,,,,2,2,2,,,,,,,,,,,,,3,4,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,2,3,,,,,,,,,,,,,,,,,,,2,2,2,,,,,,,3,3,3,,,,2,2,2,0
51,1362,39,Female,,Caucasian,,2,2,3,2,2,2,3,3,2,3,3,2,2,2,3,2,2,3,2,3,2,2,2,3,2,2,2,2,3,3,2,2,2,3,2,3,2,3,3,3,2,2,3,2,2,,,,1,1,1,,,,,,,,,,,,,,,,1,1,1,,,,,,,1,5,1,,,,,,,,,,5,5,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,4,3,,,,,,,,,,7,8,9,1,5,3,1,4,1,,,,,,,,,,,,,,,,,,,0
52,274,37,Female,,Caucasian,,1,1,1,4,1,1,3,1,1,2,3,3,1,3,2,2,3,1,2,3,2,2,1,1,1,1,1,1,3,4,1,1,1,1,4,2,2,3,2,3,1,1,1,1,1,3,4,3,,,,,,,1,2,1,,,,,,,,,,,,,,,,,,,,,,1,2,1,,,,,,,,,,,,,1,2,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,1,1,2,2,,,,,,,,,,,,,,,,,,,,,,,,,1,3,2,,,,,,,0
53,229,46,Male,,Caucasian,,2,2,3,3,2,2,3,3,2,2,3,3,1,2,3,3,3,2,2,3,2,2,3,2,2,2,1,2,3,3,2,1,1,2,3,2,2,3,2,3,1,2,2,2,1,1,1,1,,,,,,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,,,,,,,,,,,,,,,,5,4,4,,,,,,,,,,1,1,1,,,,,,,1,1,1,,,,,,,,,,,,,,,,1,1,1,,,,,,,1,1,1,,,,,,,0
54,336,32,Male,,Hispanic/Latino,,4,4,3,4,3,3,4,4,4,3,4,3,4,3,3,3,4,3,3,4,4,4,3,4,3,3,3,4,4,4,4,4,4,3,3,3,3,4,4,3,3,4,4,3,4,,,,,,,,,,,,,8,9,9,8,8,9,,,,,,,,,,8,7,9,,,,,,,9,8,9,,,,,,,,,,,,,7,8,8,,,,,,,,,,,,,,,,,,,9,9,8,,,,,,,,,,9,9,8,,,,,,,,,,,,,,,,9,8,7,,,,,,,,,,,,,,,,0
55,331,59,Male,,Caucasian,,2,2,2,2,2,2,3,2,2,3,2,2,2,3,2,2,3,3,2,3,2,2,2,3,3,2,2,3,3,3,2,2,2,2,3,2,2,3,3,3,2,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,5,1,1,4,1,1,2,1,1,3,1,,,,1,5,1,1,1,1,,,,,,,,,,5,5,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,1,,,,,,,,,,,,,,,,0
56,589,69,Male,,Caucasian,,2,2,2,2,2,2,3,3,2,3,3,2,2,3,3,4,3,3,2,2,2,1,2,4,3,2,2,3,3,3,4,4,4,4,1,3,3,3,3,3,2,3,2,2,2,,,,,,,,,,,,,,,,,,,,,,2,3,2,,,,,,,3,4,2,3,4,2,,,,,,,,,,4,5,3,,,,,,,,,,,,,,,,5,5,5,,,,,,,,,,,,,,,,1,1,1,,,,,,,,,,,,,,,,,,,3,3,2,,,,,,,,,,,,,4,5,4,0
57,459,55,Male,,Caucasian,,2,2,3,2,2,2,2,3,2,3,2,2,2,2,2,2,3,2,2,3,2,1,2,3,3,2,2,2,3,3,2,2,2,2,3,2,2,3,2,3,2,2,2,2,2,,,,,,,,,,,,,,,,,,,1,1,1,,,,,,,1,3,2,,,,2,6,3,,,,1,5,1,,,,,,,,,,,,,,,,,,,5,5,5,,,,1,5,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,5,2,,,,,,,5,5,3,,,,,,,0
58,233,20,Male,,Caucasian,,2,2,3,3,2,1,3,3,1,3,2,2,2,2,2,4,2,3,3,2,1,1,1,4,4,1,1,2,4,4,1,2,2,2,3,2,2,3,2,2,2,2,2,2,1,,,,,,,,,,,,,5,6,4,,,,,,,1,1,1,,,,,,,,,,3,3,2,,,,,,,3,4,4,,,,2,5,3,,,,2,4,2,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,6,3,0
59,774,67,Female,,Caucasian,,2,2,3,4,2,2,3,4,2,3,3,2,2,3,3,3,3,3,2,4,2,1,1,4,3,2,2,2,3,4,2,1,3,3,2,2,3,4,3,4,1,2,2,3,2,,,,,,,,,,5,1,1,,,,,,,,,,,,,,,,,,,,,,5,1,1,,,,,,,,,,,,,,,,,,,5,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,9,9,5,1,1,5,5,5,5,5,5,5,7,5,,,,0
60,2624,26,Male,,Black/African,,4,3,4,2,4,3,2,4,3,2,4,3,3,1,2,3,2,1,1,3,1,1,2,4,4,1,1,3,4,1,4,4,2,2,3,1,3,1,3,4,4,3,3,3,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,5,4,,,,,,,3,5,4,,,,,,,,,,,,,5,7,4,1,1,1,1,1,1,,,,1,1,1,,,,,,,,,,3,5,3,,,,2,3,3,0
61,532,59,Female,,Caucasian,,2,2,3,3,2,1,3,1,1,3,3,3,1,2,2,3,2,2,2,3,1,2,1,2,2,1,1,1,3,3,3,3,3,3,2,2,3,2,3,3,3,3,2,2,3,,,,,,,5,5,4,,,,5,5,3,2,7,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,6,1,,,,3,7,3,,,,1,,4,,,,,,,,,,,,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,8,4,,,,,,,0
62,591,33,Female,,"Black/African,Caucasian,Specify other:",mixed,1,1,2,3,2,1,3,2,2,4,3,2,2,2,3,3,3,1,2,3,2,1,1,3,3,1,2,2,3,4,2,2,2,2,3,3,1,3,2,4,1,2,1,3,1,1,5,9,,,,,,,,,,,,,,,,,,,1,5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,4,1,4,6,1,,,,,,,1,7,1,,,,,,,1,7,1,,,,2,8,2,,,,,,,,,,,,,0
63,270,22,Male,,Caucasian,,3,3,3,2,3,2,2,3,2,2,3,3,2,2,2,3,2,3,3,2,3,3,3,2,2,3,2,3,3,3,3,3,3,3,2,2,3,2,3,3,3,3,3,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,2,1,6,1,,,,1,2,2,,,,,,,,,,2,2,1,,,,,,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,3,5,3,,,,1,9,1,,,,,,,,,,,,,5,7,2,,,,0
64,414,42,Female,,Caucasian,,2,1,3,3,2,2,3,2,2,2,3,3,2,2,2,3,2,3,2,2,1,1,1,4,3,2,2,2,3,3,1,2,2,2,3,2,1,3,1,3,1,1,1,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,4,2,,,,1,3,2,,,,,,,,,,,,,,,,,,,,,,,,,5,5,5,,,,,,,,,,,,,1,1,1,,,,2,5,3,,,,,,,4,5,7,,,,,,,,,,,,,6,6,7,4,5,3,,,,,,,0
65,314,29,Male,,Caucasian,,2,2,3,3,3,2,2,3,2,2,3,3,1,2,2,3,1,3,3,1,2,1,1,2,3,1,1,2,4,4,2,2,2,2,3,2,1,3,2,4,2,3,2,1,2,5,5,3,,,,,,,,,,,,,,,,,,,1,1,1,,,,,,,,,,,,,1,2,1,,,,,,,5,6,2,,,,5,5,5,,,,,,,,,,4,4,3,,,,,,,,,,,,,,,,,,,3,4,2,5,7,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
66,727,56,Female,,Caucasian,,1,2,2,3,2,2,2,2,2,2,3,2,1,2,2,2,2,2,1,3,2,1,2,3,3,2,2,2,4,4,2,2,2,2,3,3,2,3,2,3,1,4,3,2,2,,,,,,,,,,,,,,,,,,,2,5,1,,,,,,,,,,5,4,1,,,,,,,,,,,,,,,,,,,,,,2,1,1,,,,,,,5,5,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,6,3,1,4,2,1,1,1,,,,4,5,4,,,,,,,,,,,,,0
67,556,29,Female,,Caucasian,,4,4,3,2,3,2,2,4,2,2,3,3,2,2,3,4,2,3,2,2,2,1,1,2,2,2,2,4,4,4,3,3,3,3,1,1,2,1,4,4,3,4,2,3,3,,,,5,5,3,,,,,,,5,9,4,,,,,,,,,,,,,,,,5,3,1,,,,,,,,,,,,,,,,,,,5,5,2,,,,,,,5,5,2,,,,5,4,1,,,,,,,,,,,,,,,,,,,3,8,1,,,,,,,,,,3,3,1,,,,,,,,,,,,,,,,,,,0
68,627,48,Female,,Caucasian,,2,2,3,3,2,1,3,3,1,3,3,2,1,2,3,3,3,3,2,3,1,1,1,4,4,2,2,2,4,4,4,3,4,4,2,2,2,2,2,4,3,2,2,2,3,,,,,,,,,,,,,,,,,,,,,,1,4,1,,,,,,,1,9,1,,,,1,6,1,,,,3,7,1,,,,,,,,,,1,7,1,1,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,7,3,,,,,,,,,,,,,,,,,,,,,,4,5,3,,,,,,,0
69,423,42,Female,,Caucasian,,2,1,2,3,2,2,2,2,2,3,3,3,1,2,2,2,2,2,2,2,2,1,2,2,2,2,1,1,3,4,1,2,1,1,3,3,1,3,1,3,1,1,1,2,1,,,,,,,,,,,,,5,7,4,,,,,,,,,,,,,2,3,3,,,,,,,1,2,1,,,,,,,,,,,,,,,,,,,1,3,2,,,,,,,,,,,,,1,2,1,,,,,,,,,,,,,,,,,,,,,,,,,2,3,1,,,,3,7,5,,,,,,,,,,3,5,2,0
70,325,37,Male,,Black/African,,3,2,3,3,3,2,2,3,,3,2,2,,2,2,3,3,3,3,2,2,2,3,1,2,2,2,2,3,3,3,3,3,3,3,2,3,2,2,3,3,3,2,2,3,,,,,,,,,,5,7,3,,,,,,,3,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,5,5,,,,1,1,1,,,,,,,,,,,,,,,,,,,7,7,1,,,,,,,,,,,,,5,4,3,9,5,3,7,4,3,0
71,397,37,Female,,Caucasian,,1,1,3,3,1,2,2,3,2,1,3,2,2,2,2,3,2,3,3,2,1,1,1,3,4,2,1,2,3,4,2,2,2,2,3,2,2,3,3,4,2,2,2,2,2,,,,,,,,,,1,1,1,,,,3,3,2,,,,1,1,1,,,,4,4,4,,,,,,,,,,4,4,4,,,,,,,,,,,,,,,,3,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,3,1,,,,,,,,,,,,,,,,,,,4,4,3,0
72,205,26,Female,,Caucasian,,1,1,1,2,1,1,4,1,1,3,3,2,1,2,2,2,3,1,1,4,1,2,2,2,2,1,1,1,2,4,1,1,1,1,4,3,1,3,1,1,1,1,1,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,4,2,2,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,6,2,,,,,,,5,4,2,,,,,,,,,,3,3,1,,,,,,,,,,2,4,2,,,,6,7,6,5,7,4,,,,,,,0
73,365,29,Male,,Black/African,,3,3,4,1,2,1,3,4,2,3,1,2,1,4,4,3,3,2,2,4,4,4,3,2,1,2,1,2,4,3,1,2,2,2,3,2,4,2,4,3,1,2,1,2,2,,,,,,,,,,,,,,,,4,7,5,2,6,6,,,,,,,,,,,,,,,,,,,,,,3,4,4,,,,,,,,,,2,3,3,1,8,7,3,5,4,,,,,,,,,,,,,5,3,1,,,,,,,,,,,,,,,,,,,,,,1,2,1,,,,,,,,,,,,,,,,,,,0
74,279,46,Female,,Caucasian,,1,2,2,2,2,2,3,2,2,3,3,2,1,2,2,3,2,3,3,2,2,2,1,2,2,2,2,2,3,3,1,1,2,2,3,2,1,3,2,3,1,1,2,2,1,,,,,,,5,5,5,,,,,,,,,,,,,1,1,1,,,,,,,,,,,,,,,,1,3,1,,,,,,,,,,,,,,,,1,3,1,,,,,,,,,,,,,,,,,,,,,,1,1,1,,,,1,3,1,,,,1,3,1,,,,,,,,,,,,,,,,,,,1,3,1,,,,0
75,237,35,Male,,Asian,,3,2,3,3,3,2,2,3,3,3,3,2,2,3,2,3,2,3,2,2,3,3,2,3,3,2,2,2,3,3,3,3,3,3,2,2,3,3,3,3,3,2,2,2,2,,,,,,,,,,4,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,4,4,,,,,,,,,,,,,3,3,3,5,5,3,,,,4,6,4,,,,,,,,,,4,4,1,,,,,,,,,,4,5,4,3,4,3,,,,0
76,375,50,Male,,Caucasian,,2,2,2,3,2,2,2,3,2,2,3,2,2,2,2,3,3,2,2,3,2,2,2,3,3,2,2,3,3,3,2,2,2,2,3,2,2,3,3,3,2,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,3,5,3,,,,2,4,2,,,,,,,,,,,,,,,,,,,3,3,3,1,1,1,,,,,,,,,,5,4,3,,,,,,,1,4,3,,,,,,,,,,,,,,,,3,3,3,,,,,,,,,,,,,,,,,,,,,,0
77,526,25,Male,,Caucasian,,2,2,3,2,2,2,3,3,2,2,3,3,2,2,2,3,3,3,2,2,2,2,1,3,3,2,2,3,3,3,2,3,2,2,3,3,1,3,1,3,2,2,3,2,2,,,,,,,,,,,,,,,,2,2,1,4,5,4,,,,,,,,,,1,1,1,,,,1,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,2,,,,,,,,,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,4,2,,,,4,5,3,0
